district_id,district_name,state,development_index,population_lakhs,rural_pct,literacy_rate,female_literacy_rate,sc_st_pct,bpl_pct,agricultural_hh_pct,avg_landholding_ha,internet_penetration,health_facilities_per_lakh,pmkisan_eligible,pmkisan_enrolled,pmkisan_uptake_rate,pmkisan_gap_count,ab_eligible,ab_enrolled,ab_uptake_rate,ab_gap_count,combined_gap_score
D0013,UTT_Dist_13,Uttar Pradesh,0.4418,95.62,0.7154,0.6666,0.5522,0.308,0.3873,0.6674,1.098,0.3146,17.81,638179,443458,0.6949,194721,333280,210990,0.6331,122290,0.336
D0014,UTT_Dist_14,Uttar Pradesh,0.3399,19.27,0.7926,0.5351,0.4655,0.3878,0.3944,0.8065,1.084,0.3105,9.35,155382,92207,0.5934,63175,68387,40256,0.5887,28131,0.409
D0015,UTT_Dist_15,Uttar Pradesh,0.4221,42.29,0.7033,0.6896,0.5623,0.3884,0.3041,0.5954,1.726,0.1915,13.03,251812,159960,0.6352,91852,115756,80083,0.6918,35673,0.3365
D0016,UTT_Dist_16,Uttar Pradesh,0.3638,19.59,0.8063,0.6603,0.5041,0.2715,0.4183,0.5982,1.461,0.2787,12.74,117156,73263,0.6254,43893,73741,40616,0.5508,33125,0.4119
D0017,UTT_Dist_17,Uttar Pradesh,0.4286,41.82,0.7866,0.6765,0.5222,0.3595,0.4029,0.6264,1.52,0.3562,16.19,261964,191343,0.7304,70621,151658,102218,0.674,49440,0.2978
D0018,UTT_Dist_18,Uttar Pradesh,0.5065,200.0,0.6913,0.7372,0.5659,0.2864,0.3086,0.571,1.584,0.2738,9.53,1142087,827856,0.7249,314231,555448,311262,0.5604,244186,0.3574
D0019,UTT_Dist_19,Uttar Pradesh,0.3622,118.14,0.7284,0.6783,0.5793,0.2202,0.5962,0.5301,1.896,0.3015,14.73,626310,393044,0.6276,233266,633942,420575,0.6634,213367,0.3545
D0020,UTT_Dist_20,Uttar Pradesh,0.4838,28.85,0.6451,0.63,0.4509,0.1606,0.2604,0.6089,1.425,0.3531,12.72,175651,133779,0.7616,41872,67613,46348,0.6855,21265,0.2764
D0021,UTT_Dist_21,Uttar Pradesh,0.2991,37.86,0.9151,0.6397,0.5015,0.3774,0.4114,0.6882,1.81,0.1835,8.18,260590,135298,0.5192,125292,140181,77043,0.5496,63138,0.4656
D0022,UTT_Dist_22,Uttar Pradesh,0.2404,17.03,0.8893,0.4802,0.3405,0.4066,0.5469,0.6554,1.164,0.3091,11.19,111616,62398,0.559,49218,83823,42122,0.5025,41701,0.4692
D0023,UTT_Dist_23,Uttar Pradesh,0.4056,57.64,0.7171,0.6094,0.4739,0.3355,0.4427,0.7574,1.43,0.2395,12.79,436552,263357,0.6033,173195,229670,147446,0.642,82224,0.3774
D0024,UTT_Dist_24,Uttar Pradesh,0.4708,21.59,0.6354,0.634,0.5321,0.2545,0.4267,0.5616,1.695,0.3748,12.74,121253,85879,0.7083,35374,82911,57497,0.6935,25414,0.2991
D0025,UTT_Dist_25,Uttar Pradesh,0.3983,40.81,0.8128,0.6363,0.4888,0.2488,0.358,0.6601,1.476,0.3879,15.76,269379,166317,0.6174,103062,131496,93459,0.7107,38037,0.3359
D0026,UTT_Dist_26,Uttar Pradesh,0.3809,17.91,0.695,0.6726,0.5986,0.25,0.3322,0.6324,1.999,0.2782,8.97,113296,78056,0.689,35240,53560,34532,0.6447,19028,0.3331
D0027,UTT_Dist_27,Uttar Pradesh,0.4499,67.76,0.6915,0.6902,0.4911,0.2197,0.3453,0.7117,1.716,0.1562,18.07,482309,302624,0.6274,179685,210592,149646,0.7106,60946,0.331
D0028,UTT_Dist_28,Uttar Pradesh,0.4447,82.15,0.7867,0.7025,0.6248,0.2499,0.397,0.6537,1.91,0.2498,13.41,537024,352983,0.6573,184041,293491,176229,0.6005,117262,0.3711
D0029,UTT_Dist_29,Uttar Pradesh,0.3985,30.71,0.7363,0.612,0.5197,0.2323,0.2749,0.6321,1.145,0.3138,14.34,194141,123488,0.6361,70653,76000,53096,0.6986,22904,0.3326
D0030,UTT_Dist_30,Uttar Pradesh,0.4379,200.0,0.8788,0.6503,0.5457,0.3128,0.4446,0.6933,1.512,0.4478,11.33,1386530,867266,0.6255,519264,800333,479507,0.5991,320826,0.3877
D0031,UTT_Dist_31,Uttar Pradesh,0.2301,67.26,0.7087,0.522,0.4671,0.326,0.5037,0.6278,1.436,0.0697,14.03,422279,237452,0.5623,184827,304907,169037,0.5544,135870,0.4416
D0032,UTT_Dist_32,Uttar Pradesh,0.3941,40.5,0.7357,0.6104,0.4738,0.2141,0.2648,0.712,1.211,0.2693,13.02,288341,174053,0.6036,114288,96515,64140,0.6646,32375,0.3659
D0033,UTT_Dist_33,Uttar Pradesh,0.3146,47.05,0.7495,0.583,0.4348,0.3388,0.3579,0.745,1.181,0.3158,17.43,350498,210513,0.6006,139985,151559,109433,0.7221,42126,0.3387
D0034,UTT_Dist_34,Uttar Pradesh,0.4136,94.97,0.7874,0.7053,0.5506,0.2996,0.3074,0.7651,1.626,0.3313,8.0,726567,432454,0.5952,294113,262709,126997,0.4834,135712,0.4607
D0035,UTT_Dist_35,Uttar Pradesh,0.3784,31.95,0.8377,0.6634,0.517,0.2984,0.3974,0.7352,1.607,0.339,7.57,234889,149030,0.6345,85859,114278,69503,0.6082,44775,0.3787
D0036,UTT_Dist_36,Uttar Pradesh,0.4898,40.24,0.6687,0.5839,0.4238,0.2713,0.313,0.5026,1.217,0.3461,17.66,202238,125152,0.6188,77086,113332,82476,0.7277,30856,0.3267
D0037,UTT_Dist_37,Uttar Pradesh,0.3576,59.77,0.7163,0.5633,0.4176,0.2239,0.3988,0.449,1.349,0.2649,15.77,268383,173534,0.6466,94849,214523,127079,0.5924,87444,0.3805
D0038,UTT_Dist_38,Uttar Pradesh,0.3411,62.29,0.6868,0.6383,0.5086,0.2129,0.5452,0.6795,1.237,0.1474,12.76,423251,317802,0.7509,105449,305619,206421,0.6754,99198,0.2869
D0039,UTT_Dist_39,Uttar Pradesh,0.3898,21.68,0.5851,0.5681,0.4282,0.3058,0.3092,0.494,1.188,0.2623,11.74,107081,67274,0.6283,39807,60324,40106,0.6649,20218,0.3534
D0040,UTT_Dist_40,Uttar Pradesh,0.4844,20.94,0.6105,0.7072,0.571,0.2771,0.2732,0.5567,1.47,0.4246,10.54,116574,86104,0.7386,30470,51499,39542,0.7678,11957,0.2468
D0041,UTT_Dist_41,Uttar Pradesh,0.2881,52.26,0.6971,0.6134,0.4523,0.2727,0.2345,0.5544,1.438,0.1717,10.51,289727,169864,0.5863,119863,110313,64375,0.5836,45938,0.4151
D0042,UTT_Dist_42,Uttar Pradesh,0.3421,21.34,0.7725,0.572,0.4641,0.3132,0.3602,0.6947,1.484,0.1371,6.43,148224,74847,0.505,73377,69161,38241,0.5529,30920,0.4711
D0043,UTT_Dist_43,Uttar Pradesh,0.4208,25.25,0.7538,0.5851,0.4276,0.1706,0.3698,0.528,1.309,0.4842,15.7,133311,94625,0.7098,38686,84037,58991,0.702,25046,0.2941
D0044,UTT_Dist_44,Uttar Pradesh,0.3421,100.01,0.5886,0.75,0.6644,0.2264,0.4201,0.4581,1.266,0.2799,12.61,458115,295129,0.6442,162986,378112,225409,0.5961,152703,0.3798
D0045,UTT_Dist_45,Uttar Pradesh,0.361,32.47,0.7552,0.5865,0.4886,0.2664,0.384,0.6672,1.626,0.1079,16.12,216651,121181,0.5593,95470,112221,56415,0.5027,55806,0.469
D0046,UTT_Dist_46,Uttar Pradesh,0.4841,12.93,0.5541,0.6172,0.5431,0.2785,0.3752,0.3162,1.757,0.3759,18.11,40874,28233,0.6908,12641,43646,29593,0.678,14053,0.3156
D0047,UTT_Dist_47,Uttar Pradesh,0.4506,31.42,0.7068,0.789,0.5763,0.2998,0.4905,0.5436,1.597,0.2264,16.5,170777,125621,0.7356,45156,138691,93094,0.6712,45597,0.2966
D0048,UTT_Dist_48,Uttar Pradesh,0.3658,9.58,0.7991,0.5815,0.4816,0.3633,0.3418,0.8106,0.975,0.2936,16.8,77673,50146,0.6456,27527,29475,18860,0.6399,10615,0.3573
D0049,UTT_Dist_49,Uttar Pradesh,0.4224,49.97,0.8978,0.5725,0.4029,0.2957,0.3984,0.8045,1.566,0.4148,10.03,401980,232847,0.5793,169133,179162,129472,0.7227,49690,0.349
D0050,UTT_Dist_50,Uttar Pradesh,0.4147,35.91,0.6976,0.6426,0.4644,0.3425,0.2487,0.6696,1.881,0.2905,12.01,240430,142027,0.5907,98403,80377,42722,0.5315,37655,0.4389
D0051,UTT_Dist_51,Uttar Pradesh,0.4659,41.58,0.5838,0.664,0.5628,0.1895,0.2736,0.4779,1.454,0.2044,10.36,198724,138433,0.6966,60291,102394,64523,0.6302,37871,0.3366
D0052,UTT_Dist_52,Uttar Pradesh,0.4864,42.71,0.5984,0.5582,0.498,0.3132,0.5613,0.4312,1.547,0.3001,14.66,184134,123041,0.6682,61093,215740,142478,0.6604,73262,0.3357
D0053,UTT_Dist_53,Uttar Pradesh,0.3541,15.41,0.7234,0.5765,0.4687,0.2588,0.2421,0.4288,0.959,0.3565,12.69,66074,41512,0.6283,24562,33575,19809,0.59,13766,0.3909
D0054,UTT_Dist_54,Uttar Pradesh,0.388,26.43,0.7809,0.6563,0.513,0.1989,0.4525,0.7527,1.043,0.3401,14.23,198925,114689,0.5765,84236,107631,73490,0.6828,34141,0.3703
D0055,UTT_Dist_55,Uttar Pradesh,0.3808,10.53,0.7736,0.5989,0.5186,0.324,0.3451,0.5871,1.09,0.3866,17.91,61839,35169,0.5687,26670,32717,19985,0.6109,12732,0.4102
D0056,UTT_Dist_56,Uttar Pradesh,0.5053,27.57,0.7337,0.5722,0.4474,0.1753,0.3648,0.7424,1.529,0.1816,16.3,204664,133893,0.6542,70771,90509,68540,0.7573,21969,0.2943
D0057,UTT_Dist_57,Uttar Pradesh,0.4091,14.5,0.6777,0.6431,0.4848,0.2846,0.3365,0.6231,1.288,0.435,13.49,90321,51676,0.5721,38645,43900,29572,0.6736,14328,0.3771
D0058,UTT_Dist_58,Uttar Pradesh,0.5604,10.05,0.6163,0.7453,0.5233,0.3028,0.4591,0.5927,1.945,0.3701,12.37,59558,41198,0.6917,18360,41519,29184,0.7029,12335,0.3027
D0059,UTT_Dist_59,Uttar Pradesh,0.4414,65.36,0.7104,0.6051,0.4533,0.2309,0.4807,0.548,1.197,0.192,8.57,358154,265245,0.7406,92909,282781,167014,0.5906,115767,0.3344
D0060,UTT_Dist_60,Uttar Pradesh,0.4076,39.48,0.7559,0.6442,0.4575,0.1825,0.4789,0.6358,1.2,0.4626,18.46,251029,156790,0.6246,94239,170164,134202,0.7887,35962,0.2934
D0061,UTT_Dist_61,Uttar Pradesh,0.4566,97.51,0.7408,0.6217,0.4691,0.3496,0.2618,0.7097,1.417,0.1821,14.49,692082,474041,0.685,218041,229758,161100,0.7012,68658,0.3069
D0062,UTT_Dist_62,Uttar Pradesh,0.5029,17.93,0.6377,0.74,0.5905,0.3189,0.3706,0.5566,1.171,0.3564,18.22,99806,69447,0.6958,30359,59805,45842,0.7665,13963,0.2688
D0063,UTT_Dist_63,Uttar Pradesh,0.4023,32.86,0.7843,0.6328,0.4476,0.2535,0.3057,0.7017,1.787,0.1827,13.45,230591,148666,0.6447,81925,90411,47069,0.5206,43342,0.4173
D0064,UTT_Dist_64,Uttar Pradesh,0.348,200.0,0.7976,0.6692,0.5509,0.3176,0.3694,0.7526,1.745,0.2623,10.87,1505151,893335,0.5935,611816,664984,456639,0.6867,208345,0.3599
D0065,UTT_Dist_65,Uttar Pradesh,0.5264,18.3,0.6322,0.6555,0.5053,0.2513,0.1848,0.4638,1.227,0.2664,17.58,84854,57465,0.6772,27389,30424,20376,0.6697,10048,0.3265
D0066,UTT_Dist_66,Uttar Pradesh,0.5848,26.64,0.7387,0.6733,0.5404,0.3758,0.2662,0.5907,1.511,0.3185,20.26,157378,123979,0.7878,33399,63837,46656,0.7309,17181,0.2407
D0067,UTT_Dist_67,Uttar Pradesh,0.3334,29.27,0.6891,0.6283,0.4679,0.3443,0.3494,0.6514,1.35,0.4151,13.42,190688,123240,0.6463,67448,92059,62090,0.6745,29969,0.3396
D0068,UTT_Dist_68,Uttar Pradesh,0.332,38.58,0.5939,0.6057,0.4554,0.2122,0.3758,0.6305,1.365,0.2471,15.2,243257,176284,0.7247,66973,130502,76814,0.5886,53688,0.3434
D0069,UTT_Dist_69,Uttar Pradesh,0.3608,54.87,0.7783,0.675,0.5086,0.4251,0.4803,0.6829,1.468,0.2792,14.36,374691,243036,0.6486,131655,237175,162338,0.6845,74837,0.3335
D0070,UTT_Dist_70,Uttar Pradesh,0.4807,56.56,0.6298,0.7582,0.6643,0.3115,0.4542,0.5456,1.276,0.3046,13.43,308596,212283,0.6879,96313,231225,175226,0.7578,55999,0.2771
D0071,UTT_Dist_71,Uttar Pradesh,0.4153,62.68,0.5959,0.6397,0.5289,0.3399,0.4052,0.5214,1.303,0.3915,13.45,326842,232603,0.7117,94239,228592,127023,0.5557,101569,0.3663
D0072,UTT_Dist_72,Uttar Pradesh,0.414,26.05,0.6902,0.6608,0.5562,0.2596,0.48,0.5376,0.964,0.2956,14.41,140036,101187,0.7226,38849,112517,72910,0.648,39607,0.3147
D0073,UTT_Dist_73,Uttar Pradesh,0.3556,33.11,0.6097,0.7229,0.5297,0.1427,0.4975,0.5874,1.727,0.3054,8.67,194480,121642,0.6255,72838,148258,93288,0.6292,54970,0.3726
D0074,UTT_Dist_74,Uttar Pradesh,0.3018,50.66,0.8162,0.6854,0.5113,0.2903,0.4227,0.7948,1.588,0.1482,12.41,402641,248369,0.6169,154272,192716,120073,0.6231,72643,0.38
D0075,UTT_Dist_75,Uttar Pradesh,0.4514,14.0,0.7077,0.7329,0.6298,0.3319,0.3994,0.5981,1.25,0.231,13.08,83734,52464,0.6266,31270,50330,33382,0.6633,16948,0.3551
D0076,MAH_Dist_01,Maharashtra,0.5627,82.27,0.6023,0.7371,0.5831,0.3353,0.1982,0.3423,1.872,0.3215,17.53,281583,188504,0.6694,93079,146759,108550,0.7397,38209,0.2955
D0077,MAH_Dist_02,Maharashtra,0.6897,40.51,0.7289,0.6909,0.5609,0.308,0.2526,0.6222,1.809,0.349,16.6,252068,195148,0.7742,56920,92097,65759,0.714,26338,0.2559
D0078,MAH_Dist_03,Maharashtra,0.7691,85.04,0.5413,0.8335,0.6009,0.2035,0.2471,0.5249,1.76,0.5441,21.56,446345,393602,0.8818,52743,189142,166444,0.88,22698,0.1191
D0079,MAH_Dist_04,Maharashtra,0.774,21.36,0.6845,0.7662,0.6056,0.2477,0.2109,0.7346,2.022,0.4764,18.89,156942,133884,0.8531,23058,40542,35676,0.88,4866,0.1335
D0080,MAH_Dist_05,Maharashtra,0.9272,42.85,0.4508,0.8614,0.7747,0.2637,0.2282,0.3916,1.884,0.5199,18.54,167800,154376,0.92,13424,88005,77444,0.88,10561,0.1
D0081,MAH_Dist_06,Maharashtra,0.6513,12.42,0.524,0.8375,0.7517,0.1498,0.281,0.5855,2.311,0.2838,16.31,72718,58506,0.8046,14212,31413,24792,0.7892,6621,0.2031
D0082,MAH_Dist_07,Maharashtra,0.7326,46.8,0.7037,0.7045,0.5117,0.2945,0.2129,0.6164,1.697,0.4643,23.17,288477,237222,0.8223,51255,89682,74082,0.8261,15600,0.1758
D0083,MAH_Dist_08,Maharashtra,0.7517,116.98,0.6788,0.6174,0.4523,0.1155,0.3139,0.5709,1.554,0.4645,17.91,667861,475485,0.712,192376,330482,259984,0.7867,70498,0.2507
D0084,MAH_Dist_09,Maharashtra,0.5224,33.24,0.6464,0.7003,0.5251,0.358,0.3132,0.609,1.479,0.4401,21.68,202450,147204,0.7271,55246,93695,73248,0.7818,20447,0.2456
D0085,MAH_Dist_10,Maharashtra,0.7724,41.86,0.5589,0.8119,0.6121,0.2204,0.2306,0.427,1.648,0.451,21.79,178705,142323,0.7964,36382,86850,75199,0.8659,11651,0.1689
D0086,MAH_Dist_11,Maharashtra,0.7011,76.77,0.5939,0.7927,0.6366,0.3208,0.3582,0.4951,1.54,0.5617,15.86,380044,294283,0.7743,85761,247482,217784,0.88,29698,0.1728
D0087,MAH_Dist_12,Maharashtra,0.6747,32.4,0.6834,0.7667,0.6815,0.2835,0.3571,0.7212,1.904,0.4015,18.7,233676,183418,0.7849,50258,104149,85916,0.8249,18233,0.1951
D0088,MAH_Dist_13,Maharashtra,0.6039,57.92,0.5515,0.7618,0.6325,0.3736,0.3033,0.416,1.804,0.3929,18.34,240912,198945,0.8258,41967,158108,125671,0.7948,32437,0.1897
D0089,MAH_Dist_14,Maharashtra,0.6705,50.99,0.7105,0.8096,0.6975,0.1635,0.385,0.6484,1.727,0.4522,15.32,330619,238356,0.7209,92263,176678,119414,0.6759,57264,0.3016
D0090,MAH_Dist_15,Maharashtra,0.6192,98.99,0.5091,0.8218,0.6366,0.2359,0.2473,0.5034,2.405,0.4936,16.41,498302,321569,0.6453,176733,220295,193859,0.88,26436,0.2373
D0091,MAH_Dist_16,Maharashtra,0.5788,38.03,0.7292,0.6118,0.5026,0.434,0.2983,0.6601,1.786,0.4081,18.24,251022,178832,0.7124,72190,102074,69638,0.6822,32436,0.3027
D0092,MAH_Dist_17,Maharashtra,0.6204,20.58,0.7105,0.6701,0.5413,0.2137,0.2227,0.494,2.013,0.4434,16.73,101658,78327,0.7705,23331,41240,28534,0.6919,12706,0.2688
D0093,MAH_Dist_18,Maharashtra,0.6984,68.5,0.5574,0.6843,0.5566,0.2676,0.2243,0.4686,1.867,0.5121,19.39,320950,270730,0.8435,50220,138280,114169,0.8256,24111,0.1654
D0094,MAH_Dist_19,Maharashtra,0.6673,36.51,0.6564,0.7743,0.6057,0.1592,0.2256,0.5095,2.069,0.3132,22.09,186019,135926,0.7307,50093,74141,62274,0.8399,11867,0.2147
D0095,MAH_Dist_20,Maharashtra,0.6232,13.22,0.5369,0.8591,0.728,0.2782,0.3987,0.4881,2.222,0.3556,18.27,64545,54003,0.8367,10542,47451,32499,0.6849,14952,0.2392
D0096,MAH_Dist_21,Maharashtra,0.7152,34.96,0.6329,0.7717,0.6026,0.1887,0.3095,0.4992,2.361,0.5393,18.69,174525,135545,0.7767,38980,97374,73323,0.753,24051,0.2352
D0097,MAH_Dist_22,Maharashtra,0.6381,65.97,0.6294,0.6637,0.4736,0.2004,0.3773,0.5841,1.79,0.3436,24.11,385298,262197,0.6805,123101,223976,165969,0.741,58007,0.2892
D0098,MAH_Dist_23,Maharashtra,0.7456,55.05,0.5682,0.9023,0.6425,0.359,0.2949,0.4883,1.642,0.4746,15.67,268816,221903,0.8255,46913,146095,111432,0.7627,34663,0.2059
D0099,MAH_Dist_24,Maharashtra,0.6312,48.22,0.7164,0.8082,0.7156,0.298,0.3034,0.5104,1.981,0.3466,21.3,246122,177428,0.7209,68694,131653,108057,0.8208,23596,0.2292
D0100,MAH_Dist_25,Maharashtra,0.6478,18.94,0.6636,0.7632,0.6424,0.2936,0.144,0.4708,1.924,0.3365,11.5,89172,69258,0.7767,19914,24541,21579,0.8793,2962,0.172
D0101,MAH_Dist_26,Maharashtra,0.6895,18.07,0.6152,0.8106,0.6291,0.2397,0.2336,0.5649,1.763,0.4501,17.73,102096,75609,0.7406,26487,38000,33436,0.8799,4564,0.1898
D0102,MAH_Dist_27,Maharashtra,0.694,47.24,0.5891,0.7725,0.674,0.2597,0.3836,0.558,2.008,0.4106,14.95,263594,192766,0.7313,70828,163101,123580,0.7577,39521,0.2555
D0103,MAH_Dist_28,Maharashtra,0.6412,57.24,0.6301,0.7273,0.6496,0.2909,0.0624,0.4903,1.85,0.2624,15.44,280664,215785,0.7688,64879,32168,21795,0.6776,10373,0.2768
D0104,MAH_Dist_29,Maharashtra,0.6127,32.98,0.5805,0.7507,0.6749,0.2537,0.2559,0.4698,1.628,0.3861,17.76,154924,116862,0.7543,38062,75935,58106,0.7652,17829,0.2402
D0105,MAH_Dist_30,Maharashtra,0.725,31.72,0.6722,0.8477,0.6827,0.1373,0.2497,0.5568,2.184,0.3532,15.99,176579,152359,0.8628,24220,71283,56034,0.7861,15249,0.1755
D0106,MAH_Dist_31,Maharashtra,0.7603,47.84,0.5815,0.8379,0.6672,0.2238,0.1276,0.5217,1.995,0.4039,21.94,249593,206204,0.8262,43389,54928,44306,0.8066,10622,0.1836
D0107,MAH_Dist_32,Maharashtra,0.7857,24.36,0.5728,0.7941,0.5797,0.1668,0.0515,0.4265,1.845,0.5354,13.89,103898,88435,0.8512,15463,11290,9228,0.8174,2062,0.1657
D0108,MAH_Dist_33,Maharashtra,0.7814,138.67,0.4486,0.7344,0.6376,0.2043,0.2968,0.3389,2.062,0.6026,25.31,469942,392201,0.8346,77741,370427,312027,0.8423,58400,0.1615
D0109,MAH_Dist_34,Maharashtra,0.7268,21.73,0.7567,0.7364,0.5216,0.2505,0.1951,0.6114,2.28,0.4436,15.55,132842,110199,0.8296,22643,38150,32749,0.8584,5401,0.156
D0110,MAH_Dist_35,Maharashtra,0.6539,35.47,0.6437,0.7181,0.6124,0.2024,0.1747,0.4942,2.231,0.464,17.33,175314,145874,0.8321,29440,55775,44989,0.8066,10786,0.1807
D0111,MAH_Dist_36,Maharashtra,0.7265,24.05,0.5443,0.9068,0.8125,0.306,0.3191,0.5886,2.068,0.5288,20.61,141565,121368,0.8573,20197,69071,57820,0.8371,11251,0.1528
D0112,BIH_Dist_01,Bihar,0.3024,76.68,0.6051,0.5092,0.4189,0.1683,0.4536,0.495,1.498,0.2206,9.3,379536,212939,0.5611,166597,313039,177609,0.5674,135430,0.4358
D0113,BIH_Dist_02,Bihar,0.3301,36.22,0.7737,0.695,0.5944,0.3519,0.4441,0.6929,1.304,0.1758,11.34,250948,161737,0.6445,89211,144746,91807,0.6343,52939,0.3606
D0114,BIH_Dist_03,Bihar,0.3524,72.16,0.7662,0.5191,0.4196,0.3478,0.4543,0.8334,0.8,0.2754,13.19,601377,397432,0.6609,203945,295020,189445,0.6421,105575,0.3485
D0115,BIH_Dist_04,Bihar,0.3389,25.99,0.7147,0.5291,0.455,0.2396,0.472,0.5094,1.742,0.2708,8.45,132403,80223,0.6059,52180,110413,71453,0.6471,38960,0.3735
D0116,BIH_Dist_05,Bihar,0.234,11.97,0.7318,0.4889,0.428,0.2575,0.4744,0.594,1.431,0.3262,4.4,71098,33649,0.4733,37449,51099,28540,0.5585,22559,0.4841
D0117,BIH_Dist_06,Bihar,0.3059,23.41,0.6978,0.7411,0.6048,0.317,0.5581,0.7252,1.546,0.3679,13.6,169758,105241,0.6199,64517,117585,81452,0.6927,36133,0.3437
D0118,BIH_Dist_07,Bihar,0.4393,38.61,0.7721,0.6087,0.4891,0.3319,0.3169,0.6427,0.899,0.2178,13.42,248146,177291,0.7145,70855,110133,75460,0.6852,34673,0.3002
D0119,BIH_Dist_08,Bihar,0.2681,13.89,0.8539,0.6819,0.4935,0.3505,0.5387,0.7045,0.621,0.3009,11.41,97871,50801,0.5191,47070,67350,33976,0.5045,33374,0.4882
D0120,BIH_Dist_09,Bihar,0.3078,15.15,0.5906,0.6348,0.5638,0.3158,0.468,0.3904,1.102,0.2059,2.54,59140,34747,0.5875,24393,63805,39544,0.6198,24261,0.3963
D0121,BIH_Dist_10,Bihar,0.4829,19.3,0.6328,0.6399,0.526,0.3104,0.3851,0.4977,1.561,0.345,11.98,96088,66434,0.6914,29654,66911,43014,0.6429,23897,0.3329
D0122,BIH_Dist_11,Bihar,0.2828,68.78,0.7267,0.5219,0.4464,0.4174,0.2429,0.5654,1.489,0.2258,9.81,388868,220611,0.5673,168257,150383,87151,0.5795,63232,0.4266
D0123,BIH_Dist_12,Bihar,0.225,19.41,0.8348,0.5195,0.3842,0.2285,0.4664,0.8786,1.242,0.1079,8.55,170533,86524,0.5074,84009,81473,39413,0.4838,42060,0.5044
D0124,BIH_Dist_13,Bihar,0.4006,20.87,0.7912,0.6033,0.4362,0.4763,0.4039,0.721,1.291,0.3103,13.27,150466,86995,0.5782,63471,75852,34552,0.4555,41300,0.4831
D0125,BIH_Dist_14,Bihar,0.3849,23.92,0.5262,0.6775,0.5624,0.2216,0.5078,0.4525,1.394,0.2235,12.52,108225,64557,0.5965,43668,109316,72573,0.6639,36743,0.3698
D0126,BIH_Dist_15,Bihar,0.2933,77.72,0.8403,0.5513,0.4432,0.2522,0.4093,0.6966,0.771,0.2546,10.63,541402,306676,0.5664,234726,286332,215965,0.7542,70367,0.3397
D0127,BIH_Dist_16,Bihar,0.3739,103.28,0.685,0.5731,0.4901,0.3743,0.4294,0.5963,1.771,0.1401,14.09,615891,392822,0.6378,223069,399187,244324,0.6121,154863,0.3751
